mz intensity
1042.317 47
1042.391 43
1042.464 39
1042.538 27
1042.611 26
1042.684 27
1042.758 24
1042.831 30
1042.904 32
1042.978 31
1043.051 34
1043.125 37
1043.198 48
1043.271 49
1043.345 56
1043.418 62
1043.492 54
1043.565 42
1043.639 35
1043.712 28
1043.785 26
1043.859 23
1043.932 20
1044.006 10
1044.079 5
1044.153 19
1044.226 33
1044.299 47
1044.373 51
1044.446 52
1044.520 47
1044.593 38
1044.667 41
1044.740 31
1044.814 32
1044.887 22
1044.960 19
1045.034 25
1045.107 23
1045.181 22
1045.254 26
1045.328 31
1045.401 19
1045.475 21
1045.548 16
1045.622 6
1045.695 10
1045.769 0
1045.842 -9
1045.916 -15
1045.989 -9
1046.063 -4
1046.136 7
1046.210 19
1046.283 22
1046.357 35
1046.430 38
1046.504 42
1046.577 47
1046.651 45
1046.724 34
1046.798 23
1046.872 15
1046.945 23
1047.019 31
1047.092 48
1047.166 55
1047.239 71
1047.313 86
1047.386 75
1047.460 69
1047.533 56
1047.607 41
1047.681 30
1047.754 19
1047.828 8
1047.901 5
1047.975 17
1048.048 28
1048.122 37
1048.196 38
1048.269 39
1048.343 34
1048.416 30
1048.490 35
1048.563 20
1048.637 19
1048.711 11
1048.784 10
1048.858 29
1048.931 31
1049.005 40
1049.079 44
1049.152 47
1049.226 43
1049.300 47
1049.373 43
1049.447 35
1049.520 34
1049.594 20
1049.668 19
1049.741 18
1049.815 10
1049.889 4
1049.962 2
1050.036 12
1050.110 28
1050.183 41
1050.257 31
1050.331 22
1050.404 25
1050.478 25
1050.551 29
1050.625 29
1050.699 33
1050.772 38
1050.846 42
1050.920 41
1050.994 23
1051.067 26
1051.141 34
1051.215 28
1051.288 36
1051.362 22
1051.436 19
1051.509 20
1051.583 25
1051.657 34
1051.730 27
1051.804 39
1051.878 40
1051.952 47
1052.025 61
1052.099 80
1052.173 96
1052.246 118
1052.320 131
1052.394 133
1052.468 124
1052.541 110
1052.615 93
1052.689 79
1052.763 69
1052.836 57
1052.910 52
1052.984 57
1053.058 59
1053.131 63
1053.205 77
1053.279 96
1053.353 102
1053.426 130
1053.500 122
1053.574 103
1053.648 89
1053.721 64
1053.795 48
1053.869 38
1053.943 32
1054.017 30
1054.090 35
1054.164 53
1054.238 56
1054.312 62
1054.386 77
1054.459 60
1054.533 70
1054.607 64
1054.681 48
1054.755 45
1054.828 19
1054.902 6
1054.976 0
1055.050 2
1055.124 4
1055.198 12
1055.271 27
1055.345 37
1055.419 32
1055.493 32
1055.567 19
1055.641 15
1055.714 15
1055.788 2
1055.862 5
1055.936 -2
1056.010 5
1056.084 17
1056.158 26
1056.231 38
1056.305 40
1056.379 46
1056.453 38
1056.527 27
1056.601 18
1056.675 10
1056.749 3
1056.822 -4
1056.896 -6
1056.970 -9
1057.044 0
1057.118 16
1057.192 36
1057.266 57
1057.340 57
1057.414 62
1057.487 46
1057.561 32
1057.635 16
1057.709 9
1057.783 1
1057.857 7
1057.931 17
1058.005 11
1058.079 21
1058.153 28
1058.227 42
1058.301 53
1058.375 45
1058.449 46
1058.522 42
1058.596 41
1058.670 41
1058.744 27
1058.818 19
1058.892 19
1058.966 31
1059.040 31
1059.114 18
1059.188 5
1059.262 -2
1059.336 4
1059.410 26
1059.484 32
1059.558 25
1059.632 28
1059.706 21
1059.780 14
1059.854 17
1059.928 2
1060.002 -1
1060.076 14
1060.150 18
1060.224 34
1060.298 48
1060.372 54
1060.446 59
1060.520 66
1060.594 62
1060.668 50
1060.742 39
1060.816 19
1060.890 21
1060.964 28
1061.038 38
1061.112 46
1061.186 39
1061.260 44
1061.334 45
1061.408 54
1061.482 43
1061.556 38
1061.631 37
1061.705 31
1061.779 31
1061.853 28
1061.927 26
1062.001 25
1062.075 36
1062.149 45
1062.223 54
1062.297 60
1062.371 59
1062.445 47
1062.519 43
1062.593 35
1062.668 28
1062.742 21
1062.816 15
1062.890 7
1062.964 17
1063.038 22
1063.112 22
1063.186 21
1063.260 32
1063.334 26
1063.409 35
1063.483 37
1063.557 36
1063.631 26
1063.705 19
1063.779 6
1063.853 7
1063.927 10
1064.002 22
1064.076 32
1064.150 35
1064.224 38
1064.298 47
1064.372 47
1064.446 42
1064.521 28
1064.595 16
1064.669 12
1064.743 1
1064.817 -3
1064.891 -14
1064.966 -9
1065.040 -1
1065.114 2
1065.188 24
1065.262 32
1065.337 41
1065.411 46
1065.485 46
1065.559 39
1065.633 32
1065.707 25
1065.782 2
1065.856 -5
1065.930 -5
1066.004 -3
1066.079 7
1066.153 10
1066.227 15
1066.301 17
1066.375 27
1066.450 23
1066.524 13
1066.598 26
1066.672 20
1066.747 29
1066.821 27
1066.895 23
1066.969 28
1067.043 35
1067.118 38
1067.192 42
1067.266 40
1067.340 38
1067.415 44
1067.489 42
1067.563 43
1067.638 41
1067.712 43
1067.786 32
1067.860 34
1067.935 20
1068.009 8
1068.083 13
1068.157 10
1068.232 20
1068.306 31
1068.380 33
1068.455 29
1068.529 34
1068.603 26
1068.678 12
1068.752 9
1068.826 4
1068.900 -11
1068.975 -2
1069.049 5
1069.123 12
1069.198 25
1069.272 31
1069.346 42
1069.421 43
1069.495 36
1069.569 11
1069.644 -4
1069.718 -11
1069.792 -22
1069.867 -8
1069.941 -2
1070.015 4
1070.090 17
1070.164 19
1070.238 14
1070.313 25
1070.387 30
1070.462 34
1070.536 47
1070.610 42
1070.685 26
1070.759 7
1070.833 14
1070.908 -3
1070.982 -11
1071.057 7
1071.131 2
1071.205 14
1071.280 21
1071.354 18
1071.429 19
1071.503 24
1071.577 29
1071.652 24
1071.726 19
1071.801 20
1071.875 14
1071.949 15
1072.024 5
1072.098 8
1072.173 20
1072.247 17
1072.321 34
1072.396 34
1072.470 16
1072.545 20
1072.619 7
1072.694 -5
1072.768 -4
1072.843 -4
1072.917 -7
1072.991 -4
1073.066 -8
1073.140 -2
1073.215 7
1073.289 15
1073.364 28
1073.438 29
1073.513 22
1073.587 22
1073.662 16
1073.736 14
1073.811 10
1073.885 5
1073.960 0
1074.034 3
1074.109 13
1074.183 13
1074.258 24
1074.332 32
1074.407 26
1074.481 26
1074.556 30
1074.630 23
1074.705 18
1074.779 9
1074.854 7
1074.928 1
1075.003 -1
1075.077 15
1075.152 11
1075.226 2
1075.301 10
1075.375 -1
1075.450 -4
1075.524 4
1075.599 -4
1075.673 4
1075.748 4
1075.823 7
1075.897 1
1075.972 -1
1076.046 0
1076.121 -6
1076.195 -2
1076.270 -4
1076.345 11
1076.419 10
1076.494 6
1076.568 9
1076.643 -7
1076.717 -8
1076.792 -2
1076.867 -7
1076.941 -11
1077.016 -6
1077.090 3
1077.165 12
1077.240 8
1077.314 9
1077.389 5
1077.463 7
1077.538 8
1077.613 1
1077.687 5
1077.762 -9
1077.836 -11
1077.911 -6
1077.986 6
1078.060 13
1078.135 18
1078.210 20
1078.284 13
1078.359 20
1078.434 25
1078.508 25
1078.583 29
1078.657 18
1078.732 7
1078.807 -8
1078.881 -20
1078.956 -8
1079.031 1
1079.105 -1
1079.180 12
1079.255 16
1079.329 12
1079.404 31
1079.479 40
1079.553 32
1079.628 15
1079.703 -2
1079.778 -10
1079.852 -12
1079.927 -11
1080.002 -1
1080.076 -1
1080.151 8
1080.226 19
1080.300 17
1080.375 18
1080.450 23
1080.525 27
1080.599 26
1080.674 28
1080.749 13
1080.823 9
1080.898 7
1080.973 -5
1081.048 -6
1081.122 9
1081.197 4
1081.272 18
1081.347 32
1081.421 26
1081.496 31
1081.571 25
1081.646 15
1081.720 11
1081.795 5
1081.870 6
1081.945 6
1082.019 3
1082.094 11
1082.169 21
1082.244 37
1082.319 33
1082.393 29
1082.468 31
1082.543 26
1082.618 28
1082.692 30
1082.767 24
1082.842 19
1082.917 17
1082.992 14
1083.066 16
1083.141 21
1083.216 26
1083.291 24
1083.366 21
1083.441 17
1083.515 10
1083.590 12
1083.665 -3
1083.740 -12
1083.815 -7
1083.889 -5
1083.964 9
1084.039 16
1084.114 8
1084.189 4
1084.264 5
1084.339 9
1084.413 20
1084.488 29
1084.563 25
1084.638 13
1084.713 0
1084.788 -2
1084.863 1
1084.937 -3
1085.012 5
1085.087 2
1085.162 10
1085.237 19
1085.312 24
1085.387 29
1085.462 29
1085.536 36
1085.611 28
1085.686 14
1085.761 10
1085.836 -3
1085.911 -2
1085.986 -4
1086.061 4
1086.136 17
1086.211 14
1086.286 10
1086.360 14
1086.435 2
1086.510 -5
1086.585 2
1086.660 -6
1086.735 -10
1086.810 -20
1086.885 -22
1086.960 -18
1087.035 -19
1087.110 -3
1087.185 5
1087.260 7
1087.335 19
1087.410 35
1087.485 39
1087.559 36
1087.634 35
1087.709 19
1087.784 0
1087.859 -1
1087.934 -11
1088.009 -17
1088.084 -8
1088.159 -8
1088.234 -2
1088.309 6
1088.384 21
1088.459 28
1088.534 37
1088.609 45
1088.684 32
1088.759 33
1088.834 23
1088.909 2
1088.984 17
1089.059 12
1089.134 24
1089.209 27
1089.284 25
1089.359 33
1089.434 27
1089.509 25
1089.584 16
1089.659 8
1089.734 5
1089.810 6
1089.885 -1
1089.960 5
1090.035 18
1090.110 15
1090.185 18
1090.260 31
1090.335 30
1090.410 37
1090.485 48
1090.560 31
1090.635 19
1090.710 11
1090.785 -2
1090.860 -3
1090.935 -6
1091.010 -5
1091.086 2
1091.161 7
1091.236 13
1091.311 6
1091.386 5
1091.461 9
1091.536 12
1091.611 20
1091.686 22
1091.761 16
1091.837 17
1091.912 18
1091.987 11
1092.062 18
1092.137 16
1092.212 14
1092.287 20
1092.362 27
1092.438 41
1092.513 26
1092.588 24
1092.663 5
1092.738 8
1092.813 2
1092.888 0
1092.963 -1
1093.039 -12
1093.114 3
1093.189 8
1093.264 11
1093.339 12
1093.414 9
1093.490 14
1093.565 16
1093.640 11
1093.715 -2
1093.790 -6
1093.865 -9
1093.941 -10
1094.016 -2
1094.091 -3
1094.166 9
1094.241 13
1094.317 17
1094.392 35
1094.467 37
1094.542 56
1094.617 55
1094.693 33
1094.768 36
1094.843 29
1094.918 27
1094.993 26
1095.069 18
1095.144 10
1095.219 22
1095.294 43
1095.370 39
1095.445 44
1095.520 40
1095.595 30
1095.671 18
1095.746 19
1095.821 -5
1095.896 -18
1095.972 -11
1096.047 -11
1096.122 13
1096.197 31
1096.273 42
1096.348 57
1096.423 64
1096.498 70
1096.574 59
1096.649 39
1096.724 29
1096.799 19
1096.875 10
1096.950 10
1097.025 4
1097.101 9
1097.176 22
1097.251 27
1097.327 29
1097.402 26
1097.477 43
1097.552 48
1097.628 56
1097.703 43
1097.778 37
1097.854 29
1097.929 21
1098.004 35
1098.080 36
1098.155 38
1098.230 41
1098.306 44
1098.381 45
1098.456 43
1098.532 48
1098.607 40
1098.682 32
1098.758 14
1098.833 7
1098.908 -1
1098.984 2
1099.059 3
1099.134 13
1099.210 20
1099.285 46
1099.361 51
1099.436 47
1099.511 46
1099.587 25
1099.662 13
1099.737 8
1099.813 5
1099.888 2
1099.964 8
1100.039 10
1100.114 9
1100.190 12
1100.265 29
1100.341 27
1100.416 17
1100.491 10
1100.567 4
1100.642 5
1100.718 6
1100.793 15
1100.869 19
1100.944 14
1101.019 18
1101.095 2
1101.170 5
1101.246 16
1101.321 21
1101.397 30
1101.472 27
1101.547 21
1101.623 17
1101.698 19
1101.774 11
1101.849 4
1101.925 7
1102.000 9
1102.076 17
1102.151 29
1102.227 8
1102.302 9
1102.378 15
1102.453 25
1102.528 31
1102.604 26
1102.679 23
1102.755 19
1102.830 20
1102.906 19
1102.981 4
1103.057 7
1103.132 8
1103.208 13
1103.283 34
1103.359 28
1103.434 41
1103.510 33
1103.585 34
1103.661 24
1103.736 10
1103.812 17
1103.888 2
1103.963 -5
1104.039 -6
1104.114 -17
1104.190 -3
1104.265 12
1104.341 21
1104.416 36
1104.492 31
1104.567 44
1104.643 34
1104.718 24
1104.794 9
1104.870 5
1104.945 8
1105.021 17
1105.096 22
1105.172 25
1105.247 36
1105.323 44
1105.399 61
1105.474 69
1105.550 62
1105.625 42
1105.701 21
1105.777 5
1105.852 4
1105.928 -2
1106.003 0
1106.079 7
1106.155 8
1106.230 18
1106.306 24
1106.381 46
1106.457 43
1106.533 39
1106.608 36
1106.684 25
1106.759 17
1106.835 15
1106.911 2
1106.986 -2
1107.062 5
1107.138 9
1107.213 13
1107.289 10
1107.365 15
1107.440 8
1107.516 12
1107.591 6
1107.667 12
1107.743 6
1107.818 -4
1107.894 -8
1107.970 -17
1108.045 -24
1108.121 -9
1108.197 -5
1108.272 3
1108.348 22
1108.424 23
1108.500 28
1108.575 21
1108.651 0
1108.727 -6
1108.802 -12
1108.878 -15
1108.954 -14
1109.029 -14
1109.105 -5
1109.181 -4
1109.257 1
1109.332 1
1109.408 7
1109.484 14
1109.559 12
1109.635 10
1109.711 8
1109.787 11
1109.862 3
1109.938 16
1110.014 14
1110.090 10
1110.165 1
1110.241 6
1110.317 15
1110.392 32
1110.468 45
1110.544 33
1110.620 34
1110.696 15
1110.771 3
1110.847 -5
1110.923 0
1110.999 4
1111.074 5
1111.150 0
1111.226 3
1111.302 1
1111.377 12
1111.453 25
1111.529 28
1111.605 25
1111.681 16
1111.756 10
1111.832 3
1111.908 -6
1111.984 -4
1112.060 -8
1112.135 -1
1112.211 10
1112.287 20
1112.363 27
1112.439 29
1112.515 36
1112.590 21
1112.666 9
1112.742 3
1112.818 -15
1112.894 -6
1112.970 2
1113.045 -3
1113.121 5
1113.197 12
1113.273 5
1113.349 17
1113.425 20
1113.500 25
1113.576 27
1113.652 22
1113.728 24
1113.804 14
1113.880 4
1113.956 3
1114.032 8
1114.107 11
1114.183 15
1114.259 24
1114.335 29
1114.411 25
1114.487 51
1114.563 48
1114.639 32
1114.715 34
1114.790 24
1114.866 12
1114.942 13
1115.018 6
1115.094 5
1115.170 2
1115.246 11
1115.322 19
1115.398 26
1115.474 29
1115.550 19
1115.626 11
1115.701 7
1115.777 3
1115.853 1
1115.929 0
1116.005 -6
1116.081 -12
1116.157 -10
1116.233 -1
1116.309 12
1116.385 9
1116.461 14
1116.537 17
1116.613 11
1116.689 14
1116.765 11
1116.841 1
1116.917 -3
1116.993 -5
1117.069 3
1117.145 -2
1117.221 1
1117.297 13
1117.373 16
1117.449 19
1117.525 21
1117.601 5
1117.677 -11
1117.753 -7
1117.829 -24
1117.905 -23
1117.981 -14
1118.057 -7
1118.133 4
1118.209 17
1118.285 24
1118.361 21
1118.437 10
1118.513 -2
1118.589 -11
1118.665 -9
1118.741 -16
1118.817 -13
1118.893 -12
1118.969 -16
1119.045 -16
1119.121 -10
1119.197 -4
1119.273 16
1119.349 19
1119.425 11
1119.501 9
1119.577 1
1119.654 -4
1119.730 -6
1119.806 -16
1119.882 -26
1119.958 -26
1120.034 -19
1120.110 -7
1120.186 4
1120.262 6
1120.338 6
1120.414 3
1120.490 14
1120.567 13
1120.643 5
1120.719 3
1120.795 -13
1120.871 -13
1120.947 -7
1121.023 -17
1121.099 -14
1121.175 2
1121.252 10
1121.328 11
1121.404 18
1121.480 21
1121.556 10
1121.632 16
1121.708 5
1121.784 -17
1121.861 -17
1121.937 -12
1122.013 -9
1122.089 -1
1122.165 24
1122.241 35
1122.318 44
1122.394 47
1122.470 44
1122.546 40
1122.622 40
1122.698 28
1122.775 21
1122.851 26
1122.927 17
1123.003 14
1123.079 30
1123.155 20
1123.232 16
1123.308 31
1123.384 40
1123.460 42
1123.536 42
1123.613 37
1123.689 27
1123.765 20
1123.841 27
1123.917 28
1123.994 36
1124.070 41
1124.146 47
1124.222 48
1124.299 50
1124.375 54
1124.451 52
1124.527 28
1124.604 23
1124.680 13
1124.756 12
1124.832 11
1124.909 -4
1124.985 1
1125.061 -1
1125.137 3
1125.214 4
1125.290 2
1125.366 1
1125.442 1
1125.519 11
1125.595 8
1125.671 11
1125.747 3
1125.824 4
1125.900 0
1125.976 -10
1126.053 -8
1126.129 -4
1126.205 8
1126.281 12
1126.358 16
1126.434 19
1126.510 14
1126.587 23
1126.663 17
1126.739 15
1126.816 15
1126.892 -5
1126.968 -4
1127.044 -6
1127.121 -3
1127.197 6
1127.273 12
1127.350 23
1127.426 30
1127.502 31
1127.579 35
1127.655 31
1127.731 18
1127.808 15
1127.884 -2
1127.961 -3
1128.037 10
1128.113 18
1128.190 34
1128.266 34
1128.342 40
1128.419 50
1128.495 40
1128.571 37
1128.648 21
1128.724 9
1128.801 6
1128.877 -5
1128.953 6
1129.030 6
1129.106 6
1129.183 16
1129.259 16
1129.335 13
1129.412 14
1129.488 10
1129.565 4
1129.641 15
1129.717 10
1129.794 5
1129.870 9
1129.947 -3
1130.023 -6
1130.099 3
1130.176 0
1130.252 5
1130.329 18
1130.405 5
1130.482 13
1130.558 20
1130.634 21
1130.711 18
1130.787 18
1130.864 4
1130.940 -7
1131.017 2
1131.093 -11
1131.170 4
1131.246 12
1131.323 -1
1131.399 15
1131.476 8
1131.552 8
1131.628 14
1131.705 10
1131.781 7
1131.858 3
1131.934 11
1132.011 1
1132.087 11
1132.164 8
1132.240 1
1132.317 2
1132.393 13
1132.470 33
1132.546 30
1132.623 32
1132.699 32
1132.776 27
1132.852 30
1132.929 28
1133.006 20
1133.082 13
1133.159 17
1133.235 13
1133.312 16
1133.388 12
1133.465 12
1133.541 21
1133.618 22
1133.694 16
1133.771 3
1133.847 7
1133.924 0
1134.001 0
1134.077 3
1134.154 -10
1134.230 5
1134.307 14
1134.383 23
1134.460 42
1134.537 39
1134.613 43
1134.690 43
1134.766 35
1134.843 19
1134.919 4
1134.996 7
1135.073 -2
1135.149 6
1135.226 5
1135.302 0
1135.379 2
1135.456 -12
1135.532 -11
1135.609 -17
1135.686 -10
1135.762 12
1135.839 12
1135.915 6
1135.992 -3
1136.069 -15
1136.145 -17
1136.222 -9
1136.299 -4
1136.375 -1
1136.452 9
1136.528 21
1136.605 24
1136.682 20
1136.758 18
1136.835 5
1136.912 0
1136.988 8
1137.065 -2
1137.142 -2
1137.218 22
1137.295 34
1137.372 41
1137.448 48
1137.525 49
1137.602 40
1137.678 45
1137.755 36
1137.832 24
1137.908 28
1137.985 19
1138.062 9
1138.139 10
1138.215 8
1138.292 20
1138.369 28
1138.445 25
1138.522 29
1138.599 32
1138.676 31
1138.752 24
1138.829 9
1138.906 14
1138.982 8
1139.059 12
1139.136 7
1139.213 9
1139.289 17
1139.366 14
1139.443 30
1139.520 32
1139.596 23
1139.673 18
1139.750 12
1139.827 8
1139.903 2
1139.980 4
1140.057 9
1140.134 21
1140.210 26
1140.287 30
1140.364 43
1140.441 39
1140.518 30
1140.594 24
1140.671 10
1140.748 3
1140.825 0
1140.901 -3
1140.978 0
1141.055 6
1141.132 3
1141.209 10
1141.285 7
1141.362 4
1141.439 11
1141.516 6
1141.593 8
1141.670 11
1141.746 1
1141.823 -8
1141.900 -15
1141.977 -10
1142.054 -3
1142.130 10
1142.207 11
1142.284 9
1142.361 8
1142.438 9
1142.515 16
1142.592 7
1142.668 15
1142.745 -4
1142.822 -11
1142.899 -8
1142.976 -10
1143.053 1
1143.130 6
1143.206 6
1143.283 15
1143.360 15
1143.437 28
1143.514 32
1143.591 29
1143.668 31
1143.745 31
1143.821 28
1143.898 6
1143.975 0
1144.052 2
1144.129 8
1144.206 15
1144.283 28
1144.360 28
1144.437 46
1144.514 58
1144.591 64
1144.667 56
1144.744 44
1144.821 49
1144.898 32
1144.975 34
1145.052 36
1145.129 22
1145.206 29
1145.283 23
1145.360 29
1145.437 24
1145.514 17
1145.591 17
1145.668 9
1145.745 6
1145.822 10
1145.899 17
1145.976 11
1146.052 6
1146.129 6
1146.206 8
1146.283 7
1146.360 25
1146.437 30
1146.514 35
1146.591 39
1146.668 27
1146.745 25
1146.822 13
1146.899 10
1146.976 15
1147.053 16
1147.130 12
1147.207 9
1147.284 15
1147.361 20
1147.438 27
1147.515 21
1147.592 13
1147.669 16
1147.746 17
1147.823 3
1147.900 4
1147.977 -6
1148.055 -3
1148.132 2
1148.209 -6
1148.286 8
1148.363 9
1148.440 12
1148.517 14
1148.594 4
1148.671 6
1148.748 8
1148.825 3
1148.902 6
1148.979 3
1149.056 7
1149.133 6
1149.210 3
1149.287 12
1149.365 13
1149.442 13
1149.519 21
1149.596 22
1149.673 26
1149.750 27
1149.827 24
1149.904 9
1149.981 -1
1150.058 5
1150.135 -2
1150.213 -2
1150.290 2
1150.367 12
1150.444 14
1150.521 27
1150.598 31
1150.675 20
1150.752 28
1150.830 23
1150.907 15
1150.984 19
1151.061 11
1151.138 25
1151.215 38
1151.292 40
1151.369 45
1151.447 42
1151.524 25
1151.601 24
1151.678 22
1151.755 13
1151.832 18
1151.910 11
1151.987 12
1152.064 10
1152.141 26
1152.218 55
1152.295 80
1152.373 114
1152.450 135
1152.527 151
1152.604 153
1152.681 148
1152.759 128
1152.836 99
1152.913 83
1152.990 62
1153.067 57
1153.145 62
1153.222 67
1153.299 73
1153.376 85
1153.453 98
1153.531 104
1153.608 109
1153.685 90
1153.762 71
1153.840 51
1153.917 40
1153.994 25
1154.071 21
1154.149 37
1154.226 47
1154.303 54
1154.380 64
1154.457 71
1154.535 66
1154.612 65
1154.689 58
1154.767 50
1154.844 42
1154.921 39
1154.998 16
1155.076 13
1155.153 13
1155.230 13
1155.307 15
1155.385 16
1155.462 13
1155.539 21
1155.617 25
1155.694 21
1155.771 19
1155.848 15
1155.926 10
1156.003 2
1156.080 1
1156.158 -7
1156.235 0
1156.312 1
1156.390 11
1156.467 12
1156.544 22
1156.622 16
1156.699 18
1156.776 13
1156.854 -2
1156.931 6
1157.008 -3
1157.086 2
1157.163 -3
1157.240 -9
1157.318 -3
1157.395 0
1157.472 16
1157.550 17
1157.627 12
1157.704 7
1157.782 -6
1157.859 -2
1157.936 13
1158.014 23
1158.091 18
1158.169 34
1158.246 35
1158.323 35
1158.401 40
1158.478 48
1158.556 44
1158.633 40
1158.710 37
1158.788 21
1158.865 18
1158.943 18
1159.020 19
1159.097 13
1159.175 7
1159.252 16
1159.330 18
1159.407 39
1159.484 39
1159.562 37
1159.639 38
1159.717 28
1159.794 19
1159.872 17
1159.949 6
1160.026 15
1160.104 17
1160.181 20
1160.259 14
1160.336 18
1160.414 21
1160.491 22
1160.569 24
1160.646 17
1160.723 20
1160.801 8
1160.878 1
1160.956 1
1161.033 6
1161.111 9
1161.188 17
1161.266 11
1161.343 12
1161.421 19
1161.498 23
1161.576 38
1161.653 36
1161.731 30
1161.808 26
1161.886 11
1161.963 -4
1162.041 -10
1162.118 -10
1162.196 2
1162.273 11
1162.351 14
1162.428 21
1162.506 17
1162.583 12
1162.661 9
1162.738 3
1162.816 -6
1162.893 3
1162.971 2
1163.049 -1
1163.126 9
1163.204 11
1163.281 13
1163.359 32
1163.436 37
1163.514 40
1163.591 44
1163.669 33
1163.747 30
1163.824 21
1163.902 7
1163.979 8
1164.057 8
1164.134 10
1164.212 21
1164.290 25
1164.367 29
1164.445 28
1164.522 35
1164.600 31
1164.678 23
1164.755 28
1164.833 17
1164.910 14
1164.988 21
1165.066 12
1165.143 39
1165.221 54
1165.298 54
1165.376 80
1165.454 81
1165.531 91
1165.609 112
1165.687 101
1165.764 91
1165.842 60
1165.919 27
1165.997 19
1166.075 16
1166.152 29
1166.230 51
1166.308 71
1166.385 88
1166.463 105
1166.541 112
1166.618 105
1166.696 108
1166.774 104
1166.851 93
1166.929 81
1167.007 67
1167.084 60
1167.162 64
1167.240 63
1167.317 75
1167.395 78
1167.473 75
1167.550 83
1167.628 86
1167.706 93
1167.783 87
1167.861 61
1167.939 55
1168.017 45
1168.094 26
1168.172 43
1168.250 46
1168.327 44
1168.405 50
1168.483 49
1168.561 31
1168.638 24
1168.716 35
1168.794 18
1168.872 13
1168.949 5
1169.027 -2
1169.105 3
1169.183 11
1169.260 15
1169.338 29
1169.416 35
1169.494 33
1169.571 40
1169.649 24
1169.727 17
1169.805 13
1169.882 3
1169.960 3
1170.038 4
1170.116 5
1170.193 13
1170.271 15
1170.349 28
1170.427 41
1170.505 42
1170.582 42
1170.660 48
1170.738 30
1170.816 23
1170.894 14
1170.971 2
1171.049 6
1171.127 11
1171.205 14
1171.283 21
1171.360 21
1171.438 7
1171.516 17
1171.594 13
1171.672 14
1171.750 16
1171.827 -2
1171.905 1
1171.983 3
1172.061 10
1172.139 18
1172.217 17
1172.295 11
1172.372 13
1172.450 23
1172.528 20
1172.606 20
1172.684 32
1172.762 20
1172.840 35
1172.917 25
1172.995 9
1173.073 3
1173.151 -8
1173.229 -10
1173.307 -14
1173.385 -8
1173.463 -7
1173.540 1
1173.618 13
1173.696 7
1173.774 4
1173.852 7
1173.930 0
1174.008 -4
1174.086 -2
1174.164 -9
1174.242 1
1174.320 26
1174.397 34
1174.475 30
1174.553 26
1174.631 17
1174.709 18
1174.787 16
1174.865 7
1174.943 8
1175.021 7
1175.099 15
1175.177 22
1175.255 29
1175.333 30
1175.411 30
1175.489 37
1175.567 39
1175.645 30
1175.723 26
1175.800 20
1175.878 2
1175.956 -1
1176.034 0
1176.112 10
1176.190 28
1176.268 50
1176.346 53
1176.424 52
1176.502 57
1176.580 46
1176.658 53
1176.736 56
1176.814 42
1176.892 32
1176.970 25
1177.048 13
1177.126 12
1177.204 18
1177.282 10
1177.360 19
1177.438 11
1177.516 10
1177.594 8
1177.673 11
1177.751 16
1177.829 -7
1177.907 -16
1177.985 -23
1178.063 -29
1178.141 -12
1178.219 -1
1178.297 17
1178.375 30
1178.453 42
1178.531 46
1178.609 33
1178.687 37
1178.765 28
1178.843 4
1178.921 -3
1178.999 -19
1179.078 -27
1179.156 -16
1179.234 -19
1179.312 -12
1179.390 1
1179.468 -1
1179.546 15
1179.624 12
1179.702 20
1179.780 21
1179.858 17
1179.937 10
1180.015 -3
1180.093 4
1180.171 -7
1180.249 12
1180.327 18
1180.405 34
1180.483 42
1180.561 31
1180.640 26
1180.718 14
1180.796 4
1180.874 15
1180.952 16
1181.030 13
1181.108 13
1181.187 8
1181.265 11
1181.343 21
1181.421 31
1181.499 38
1181.577 42
1181.656 40
1181.734 49
1181.812 42
1181.890 31
1181.968 19
1182.046 13
1182.125 6
1182.203 16
1182.281 18
1182.359 13
1182.437 23
1182.516 19
1182.594 24
1182.672 19
1182.750 11
1182.828 1
1182.907 -8
1182.985 -14
1183.063 -15
1183.141 -8
1183.219 -1
1183.298 15
1183.376 33
1183.454 35
1183.532 34
1183.610 26
1183.689 22
1183.767 18
1183.845 17
1183.923 11
1184.002 -2
1184.080 0
1184.158 12
1184.236 18
1184.315 15
1184.393 23
1184.471 29
1184.549 33
1184.628 31
1184.706 8
1184.784 3
1184.862 -5
1184.941 0
1185.019 2
1185.097 2
1185.176 2
1185.254 -13
1185.332 2
1185.410 2
1185.489 10
1185.567 26
1185.645 24
1185.724 24
1185.802 19
1185.880 10
1185.959 -1
1186.037 -17
1186.115 -18
1186.193 -11
1186.272 9
1186.350 12
1186.428 14
1186.507 12
1186.585 8
1186.663 16
1186.742 24
1186.820 23
1186.898 35
1186.977 29
1187.055 4
1187.133 3
1187.212 -4
1187.290 -6
1187.369 14
1187.447 9
1187.525 2
1187.604 2
1187.682 6
1187.760 2
1187.839 1
1187.917 -8
1187.995 -12
1188.074 -14
1188.152 -4
1188.231 3
1188.309 -5
1188.387 1
1188.466 0
1188.544 8
1188.623 18
1188.701 19
1188.779 13
1188.858 14
1188.936 -1
1189.015 -11
1189.093 -17
1189.171 -24
1189.250 -22
1189.328 -17
1189.407 -3
1189.485 -11
1189.564 -8
1189.642 -6
1189.720 -3
1189.799 8
1189.877 9
1189.956 -4
1190.034 -3
1190.113 -5
1190.191 -2
1190.269 5
1190.348 1
1190.426 19
1190.505 25
1190.583 30
1190.662 29
1190.740 18
1190.819 9
